Wavelength (nm)	Band 1p	Band 1	Band 2	Band 3	Band 4	Band 4p	Band 5p	Band 5	Band 7	Pan
504	0.00000	0.98831	0.00016	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54133
505	0.00000	0.98540	0.00022	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54115
506	0.00000	0.98426	0.00031	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54048
507	0.00000	0.99277	0.00042	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.53067
508	0.00000	0.99912	0.00060	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.51015
509	0.00000	1.00000	0.00084	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.48883
510	0.00000	0.96800	0.00111	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.48042
511	0.00000	0.88388	0.00143	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.49043
512	0.00000	0.72901	0.00191	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.51575
513	0.00000	0.54907	0.00234	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54636
514	0.00000	0.38372	0.00299	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.57019
515	0.00000	0.26095	0.00379	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.58164
516	0.00000	0.17493	0.00493	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.58556
517	0.00000	0.12051	0.00676	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.58682
518	0.00000	0.08465	0.00963	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.59395
519	0.00000	0.06078	0.01413	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.59668
520	0.00000	0.04416	0.02166	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.59176
521	0.00000	0.03304	0.03329	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.58076
522	0.00000	0.02508	0.05270	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.56983
523	0.00000	0.01909	0.08222	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.56235
524	0.00000	0.01471	0.12653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.56869
525	0.00000	0.01128	0.18246	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.58637
526	0.00000	0.00873	0.25315	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.60697
527	0.00000	0.00668	0.33383	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.62970
528	0.00000	0.00502	0.42369	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64545
529	0.00000	0.00383	0.51961	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65430
530	0.00000	0.00288	0.61307	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65559
531	0.00000	0.00216	0.69206	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65142
532	0.00000	0.00162	0.74734	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65008
533	0.00000	0.00125	0.78427	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64711
534	0.00000	0.00099	0.80615	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64155
535	0.00000	0.00078	0.81964	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64099
536	0.00000	0.00059	0.83077	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64155
537	0.00000	0.00046	0.83893	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64596
538	0.00000	0.00035	0.84611	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65644
539	0.00000	0.00030	0.85127	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.67206
540	0.00000	0.00023	0.85540	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.68972
541	0.00000	0.00021	0.85825	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.70046
542	0.00000	0.00014	0.85711	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.70618
543	0.00000	0.00012	0.85607	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.69963
544	0.00000	0.00011	0.85258	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.68590
545	0.00000	0.00010	0.85019	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.66664
546	0.00000	0.00009	0.84993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64612
547	0.00000	0.00008	0.84812	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.62803
548	0.00000	0.00005	0.85074	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.61720
549	0.00000	0.00005	0.85392	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.61517
550	0.00000	0.00005	0.85730	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.61946
551	0.00000	0.00002	0.86113	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.62609
552	0.00000	0.00004	0.86887	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.63774
553	0.00000	0.00004	0.87774	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65222
554	0.00000	0.00005	0.88815	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.66604
555	0.00000	0.00002	0.89690	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.67844
556	0.00000	0.00003	0.90286	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.68779
557	0.00000	0.00002	0.90407	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.69094
558	0.00000	0.00001	0.90407	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.68812
559	0.00000	0.00002	0.90389	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.67763
560	0.00000	0.00000	0.90618	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.66608
561	0.00000	0.00000	0.90787	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65347
562	0.00000	0.00000	0.90849	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64449
563	0.00000	0.00000	0.90949	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64176
564	0.00000	0.00000	0.91082	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64284
565	0.00000	0.00000	0.91263	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.64675
566	0.00000	0.00000	0.91389	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65268
567	0.00000	0.00000	0.91521	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.65729
568	0.00000	0.00000	0.91836	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.66144
